"Start Time (UTC)","End Time (UTC)","Duration (min)","Min (km)","Max (km)","Conjunction Type","Conjunction Between"
"2020-01-08  05:43","2020-01-08  05:44","2","201","239","nbtrace","REGO LUCK and ELFIN-A"
"2020-01-08  05:43","2020-01-08  05:44","2","201","239","nbtrace","TREx Spectrograph LUCK and ELFIN-A"
"2020-01-08  05:43","2020-01-08  05:44","2","201","239","nbtrace","TREx RGB LUCK and ELFIN-A"
"2020-01-08  05:44","2020-01-08  05:45","2","351","361","nbtrace","THEMIS-ASI ATHA and ELFIN-A"
"2020-01-08  05:45","2020-01-08  05:47","3","90","465","nbtrace","TREx RGB FSMI and ELFIN-A"
"2020-01-08  05:45","2020-01-08  05:46","2","388","465","nbtrace","TREx Spectrograph RABB and ELFIN-A"
"2020-01-08  05:45","2020-01-08  05:46","2","388","465","nbtrace","TREx RGB RABB and ELFIN-A"
"2020-01-08  05:49","2020-01-08  05:50","2","352","437","nbtrace","REGO SACH and ELFIN-A"
"2020-01-08  06:06","2020-01-08  06:08","3","104","473","nbtrace","THEMIS-ASI ATHA and ELFIN-B"
"2020-01-08  06:06","2020-01-08  06:06","1","493","493","nbtrace","REGO LUCK and ELFIN-B"
"2020-01-08  06:06","2020-01-08  06:06","1","493","493","nbtrace","TREx Spectrograph LUCK and ELFIN-B"
"2020-01-08  06:06","2020-01-08  06:06","1","493","493","nbtrace","TREx RGB LUCK and ELFIN-B"
"2020-01-08  06:08","2020-01-08  06:09","2","309","338","nbtrace","TREx RGB FSMI and ELFIN-B"
"2020-01-08  06:09","2020-01-08  06:10","2","235","408","nbtrace","THEMIS-ASI FSIM and ELFIN-B"
"2020-01-08  06:09","2020-01-08  06:10","2","235","408","nbtrace","REGO FSIM and ELFIN-B"
"2020-01-08  06:11","2020-01-08  06:13","3","136","475","nbtrace","REGO SACH and ELFIN-B"
"2020-01-08  07:21","2020-01-08  07:22","2","182","298","nbtrace","THEMIS-ASI INUV and ELFIN-A"
"2020-01-08  07:23","2020-01-08  07:23","1","487","487","nbtrace","REGO SACH and ELFIN-A"
"2020-01-08  07:42","2020-01-08  07:43","2","245","456","nbtrace","THEMIS-ASI GAKO and ELFIN-B"
"2020-01-08  07:44","2020-01-08  07:45","2","392","447","nbtrace","THEMIS-ASI INUV and ELFIN-B"
"2020-01-08  08:54","2020-01-08  08:56","3","62","461","nbtrace","THEMIS-ASI KIAN and ELFIN-A"
"2020-01-08  09:17","2020-01-08  09:18","2","284","322","nbtrace","THEMIS-ASI KIAN and ELFIN-B"
"2020-01-09  02:25","2020-01-09  02:25","1","410","410","nbtrace","THEMIS-ASI KUUJ and ELFIN-B"
