Start Time (UTC),End Time (UTC),Duration (min),Min (km),Max (km),Conjunction Type,Conjunction Between,asi_array_and_id,asi_array,asi
2020-01-08 05:43:00,2020-01-08 05:44:00,2,201,239,nbtrace,TREx RGB LUCK and ELFIN-A,TREx RGB LUCK ,TREx RGB,LUCK
2020-01-08 05:45:00,2020-01-08 05:47:00,3,90,465,nbtrace,TREx RGB FSMI and ELFIN-A,TREx RGB FSMI ,TREx RGB,FSMI
2020-01-08 05:45:00,2020-01-08 05:46:00,2,388,465,nbtrace,TREx RGB RABB and ELFIN-A,TREx RGB RABB ,TREx RGB,RABB
2020-03-06 02:31:00,2020-03-06 02:33:00,3,128,444,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-03-06 02:33:00,2020-03-06 02:34:00,2,170,258,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-03-06 02:34:00,2020-03-06 02:34:00,1,471,471,nbtrace,TREx RGB RABB and ELFIN-B,TREx RGB RABB ,TREx RGB,RABB
2020-03-11 02:08:00,2020-03-11 02:08:00,1,376,376,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-03-11 02:09:00,2020-03-11 02:10:00,2,252,290,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-03-25 01:59:00,2020-03-25 02:00:00,2,189,243,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-08-02 09:20:00,2020-08-02 09:21:00,2,192,309,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-05 09:02:00,2020-08-05 09:03:00,2,368,416,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-07 09:21:00,2020-08-07 09:22:00,2,193,254,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-18 08:43:00,2020-08-18 08:45:00,3,100,450,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-08-18 08:45:00,2020-08-18 08:46:00,2,167,308,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-20 08:26:00,2020-08-20 08:27:00,2,267,423,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-08-20 08:28:00,2020-08-20 08:29:00,2,346,367,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-08-21 08:25:00,2020-08-21 08:26:00,2,309,384,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-08-21 08:27:00,2020-08-21 08:28:00,2,334,425,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-26 08:25:00,2020-08-26 08:27:00,3,101,459,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-08-26 08:27:00,2020-08-26 08:28:00,2,207,260,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-29 08:07:00,2020-08-29 08:08:00,2,312,382,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-08-29 08:09:00,2020-08-29 08:09:00,1,311,311,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-08-31 07:52:00,2020-08-31 07:52:00,1,409,409,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
2020-08-31 07:54:00,2020-08-31 07:54:00,1,458,458,nbtrace,TREx RGB PINA and ELFIN-B,TREx RGB PINA ,TREx RGB,PINA
2020-08-31 08:25:00,2020-08-31 08:27:00,3,77,425,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-08-31 08:27:00,2020-08-31 08:28:00,2,176,283,nbtrace,TREx RGB PINA and ELFIN-A,TREx RGB PINA ,TREx RGB,PINA
2020-09-01 07:49:00,2020-09-01 07:49:00,1,469,469,nbtrace,TREx RGB GILL and ELFIN-A,TREx RGB GILL ,TREx RGB,GILL
2020-09-02 08:11:00,2020-09-02 08:12:00,2,114,313,nbtrace,TREx RGB GILL and ELFIN-B,TREx RGB GILL ,TREx RGB,GILL
