start,end,epd_data,asi_data,asi
2019-03-09 08:52:40,2019-03-09 08:54:00,True,True,mcgr
2019-03-20 08:51:17,2019-03-20 08:52:37,True,True,kian
2019-03-20 08:52:23,2019-03-20 08:53:44,True,True,mcgr
2019-03-23 08:43:40,2019-03-23 08:45:00,True,True,mcgr
2019-04-10 07:50:14,2019-04-10 07:51:34,True,True,mcgr
2019-09-22 08:52:45,2019-09-22 08:54:04,True,True,gill
2019-09-22 08:54:30,2019-09-22 08:55:06,True,True,rank
2019-09-22 08:56:18,2019-09-22 08:57:08,True,True,talo
2019-09-23 06:44:24,2019-09-23 06:45:43,True,True,kuuj
2019-09-23 13:00:14,2019-09-23 13:01:22,True,True,mcgr
2019-09-23 13:01:20,2019-09-23 13:02:40,True,True,kian
2019-09-24 12:24:57,2019-09-24 12:25:21,True,True,gako
2019-09-24 12:25:06,2019-09-24 12:26:26,True,True,mcgr
2019-09-25 08:40:58,2019-09-25 08:42:17,True,True,gill
2019-09-25 08:42:42,2019-09-25 08:44:01,True,True,rank
2019-09-25 08:44:31,2019-09-25 08:45:50,True,True,talo
2019-09-25 11:49:49,2019-09-25 11:51:09,True,True,gako
2019-09-27 12:13:08,2019-09-27 12:14:28,True,True,gako
2019-09-27 12:13:25,2019-09-27 12:14:37,True,True,mcgr
2019-09-28 06:55:56,2019-09-28 06:57:15,True,True,kuuj
2019-09-28 08:29:07,2019-09-28 08:30:26,True,True,gill
2019-09-28 08:30:52,2019-09-28 08:32:10,True,True,rank
2019-09-28 08:32:41,2019-09-28 08:33:59,True,True,talo
2019-09-28 13:12:50,2019-09-28 13:13:38,True,True,kian
2019-09-29 11:02:27,2019-09-29 11:03:46,True,True,whit
2019-09-29 11:04:25,2019-09-29 11:05:44,True,True,inuv
2019-09-29 12:36:34,2019-09-29 12:37:54,True,True,mcgr
2019-09-29 12:37:40,2019-09-29 12:39:00,True,True,kian
2019-09-30 12:01:14,2019-09-30 12:02:34,True,True,gako
2019-10-01 13:00:55,2019-10-01 13:02:15,True,True,kian
2019-10-02 12:24:37,2019-10-02 12:25:57,True,True,mcgr
2019-10-02 12:25:43,2019-10-02 12:27:03,True,True,kian
2019-10-04 12:48:54,2019-10-04 12:50:14,True,True,kian
2019-10-05 07:30:00,2019-10-05 07:31:19,True,True,snkq
2019-10-05 07:33:48,2019-10-05 07:34:50,True,True,talo
2019-10-05 12:12:35,2019-10-05 12:13:55,True,True,mcgr
2019-10-05 12:13:41,2019-10-05 12:15:01,True,True,kian
2019-10-06 06:55:36,2019-10-06 06:56:04,True,True,snkq
2019-10-06 11:37:13,2019-10-06 11:38:32,True,True,gako
2019-10-07 12:36:50,2019-10-07 12:38:10,True,True,kian
2019-10-08 12:00:29,2019-10-08 12:01:49,True,True,mcgr
2019-10-08 12:02:11,2019-10-08 12:02:55,True,True,kian
2019-10-25 11:21:47,2019-10-25 11:23:07,True,True,mcgr
2019-11-08 10:53:18,2019-11-08 10:54:38,True,True,mcgr
2019-11-08 10:54:24,2019-11-08 10:55:43,True,True,kian
2019-11-12 06:55:49,2019-11-12 06:57:07,True,True,gill
2019-11-12 06:57:33,2019-11-12 06:58:15,True,True,rank
2019-11-12 06:59:21,2019-11-12 07:00:13,True,True,talo
2019-11-13 11:02:47,2019-11-13 11:04:04,True,True,mcgr
2019-11-13 11:03:53,2019-11-13 11:05:12,True,True,kian
2020-01-08 05:44:20,2020-01-08 05:45:02,True,True,atha
2020-01-24 08:40:24,2020-01-24 08:41:41,True,True,kian
2020-01-29 04:03:58,2020-01-29 04:05:17,True,True,gill
2020-01-29 04:04:22,2020-01-29 04:04:38,True,True,tpas
2020-01-29 04:07:31,2020-01-29 04:07:37,True,True,talo
2020-01-29 07:12:42,2020-01-29 07:14:01,True,True,gako
2020-03-07 06:09:02,2020-03-07 06:09:24,True,True,gako
2020-03-07 06:09:11,2020-03-07 06:10:30,True,True,mcgr
2020-03-08 00:50:58,2020-03-08 00:52:16,True,True,kuuj
2020-03-08 05:32:47,2020-03-08 05:34:06,True,True,gako
2020-03-10 05:53:46,2020-03-10 05:55:05,True,True,gako
2020-03-10 05:54:45,2020-03-10 05:55:14,True,True,mcgr
2020-03-11 02:08:48,2020-03-11 02:10:06,True,True,gill
2020-03-11 02:10:31,2020-03-11 02:11:50,True,True,rank
2020-03-12 06:14:54,2020-03-12 06:16:13,True,True,mcgr
2020-03-15 05:59:32,2020-03-15 06:00:52,True,True,mcgr
2020-03-20 06:05:00,2020-03-20 06:06:20,True,True,mcgr
2020-08-07 09:20:55,2020-08-07 09:21:16,True,True,tpas
2020-08-14 08:07:25,2020-08-14 08:08:43,True,True,kapu
2020-08-18 08:43:23,2020-08-18 08:44:41,True,True,gill
2020-08-19 08:07:57,2020-08-19 08:08:29,True,True,kapu
2020-08-21 08:23:13,2020-08-21 08:24:31,True,True,rank
2020-08-21 08:25:19,2020-08-21 08:26:15,True,True,gill
2020-08-23 11:49:16,2020-08-23 11:50:35,True,True,gako
2020-08-25 12:08:05,2020-08-25 12:09:25,True,True,gako
2020-08-26 08:23:32,2020-08-26 08:24:50,True,True,rank
2020-08-26 08:25:15,2020-08-26 08:26:34,True,True,gill
2020-08-27 12:26:44,2020-08-27 12:28:04,True,True,mcgr
2020-08-28 11:49:30,2020-08-28 11:50:49,True,True,gako
2020-08-29 08:04:56,2020-08-29 08:06:14,True,True,rank
2020-08-29 08:07:02,2020-08-29 08:07:58,True,True,gill
2020-08-29 12:44:25,2020-08-29 12:45:44,True,True,kian
2020-08-29 12:45:30,2020-08-29 12:46:50,True,True,mcgr
2020-08-30 07:29:14,2020-08-30 07:30:32,True,True,snkq
2020-08-30 12:08:14,2020-08-30 12:09:26,True,True,mcgr
2020-08-30 12:08:15,2020-08-30 12:09:25,True,True,gako
2020-08-31 06:51:25,2020-08-31 06:52:31,True,True,kuuj
2020-08-31 08:23:39,2020-08-31 08:24:57,True,True,rank
2020-08-31 08:25:23,2020-08-31 08:26:41,True,True,gill
2020-08-31 08:26:43,2020-08-31 08:27:20,True,True,tpas
2020-09-01 12:26:25,2020-09-01 12:27:03,True,True,kian
2020-09-01 12:26:49,2020-09-01 12:28:08,True,True,mcgr
2020-09-02 11:49:32,2020-09-02 11:50:51,True,True,gako
2020-09-03 08:04:54,2020-09-03 08:06:12,True,True,rank
2020-09-03 08:06:38,2020-09-03 08:07:56,True,True,gill
2020-09-03 12:44:23,2020-09-03 12:45:42,True,True,kian
2020-09-04 12:08:01,2020-09-04 12:09:21,True,True,mcgr
2020-09-05 06:51:43,2020-09-05 06:53:01,True,True,snkq
2020-09-05 11:30:43,2020-09-05 11:32:02,True,True,gako
2020-09-05 13:03:00,2020-09-05 13:04:16,True,True,kian
2020-09-06 07:46:04,2020-09-06 07:47:22,True,True,rank
2020-09-06 07:48:20,2020-09-06 07:49:07,True,True,gill
2020-09-06 10:51:38,2020-09-06 10:52:58,True,True,inuv
2020-09-06 12:25:32,2020-09-06 12:26:52,True,True,kian
2020-09-07 07:10:18,2020-09-07 07:11:36,True,True,snkq
2020-09-07 07:12:14,2020-09-07 07:13:32,True,True,kapu
2020-09-07 11:49:18,2020-09-07 11:50:38,True,True,gako
2020-09-07 11:49:25,2020-09-07 11:50:29,True,True,mcgr
2020-09-08 06:32:25,2020-09-08 06:33:43,True,True,kuuj
2020-09-08 08:02:51,2020-09-08 08:04:08,True,True,talo
2020-09-08 08:04:39,2020-09-08 08:05:57,True,True,rank
2020-09-08 08:06:22,2020-09-08 08:07:41,True,True,gill
2020-09-08 08:07:57,2020-09-08 08:08:20,True,True,tpas
2020-09-08 12:44:07,2020-09-08 12:45:27,True,True,kian
2020-09-09 05:55:34,2020-09-09 05:56:15,True,True,kuuj
2020-09-09 10:32:44,2020-09-09 10:34:03,True,True,inuv
2020-09-09 12:07:28,2020-09-09 12:07:57,True,True,kian
2020-09-09 12:07:44,2020-09-09 12:09:03,True,True,mcgr
2020-09-10 11:30:23,2020-09-10 11:31:42,True,True,gako
2020-09-11 07:43:54,2020-09-11 07:45:12,True,True,talo
2020-09-11 07:45:42,2020-09-11 07:47:00,True,True,rank
2020-09-11 07:47:26,2020-09-11 07:48:45,True,True,gill
2020-09-11 10:51:16,2020-09-11 10:52:36,True,True,inuv
2020-09-11 12:25:10,2020-09-11 12:26:30,True,True,kian
2020-09-12 11:48:45,2020-09-12 11:50:05,True,True,mcgr
2020-09-13 06:32:25,2020-09-13 06:33:43,True,True,snkq
2020-09-13 11:11:23,2020-09-13 11:12:43,True,True,gako
2020-09-13 12:43:41,2020-09-13 12:45:01,True,True,kian
2020-09-15 09:56:30,2020-09-15 09:57:23,True,True,fsim
2020-09-16 07:43:22,2020-09-16 07:44:40,True,True,talo
2020-09-16 07:45:10,2020-09-16 07:46:28,True,True,rank
2020-09-16 07:46:54,2020-09-16 07:48:13,True,True,gill
2020-09-16 10:50:44,2020-09-16 10:52:04,True,True,inuv
2020-09-16 10:52:27,2020-09-16 10:53:40,True,True,gako
2020-09-16 12:24:38,2020-09-16 12:25:58,True,True,kian
2020-09-17 05:36:23,2020-09-17 05:36:44,True,True,kuuj
2020-09-17 10:13:11,2020-09-17 10:14:31,True,True,inuv
2020-09-17 11:48:09,2020-09-17 11:48:25,True,True,kian
2020-09-17 11:48:11,2020-09-17 11:49:31,True,True,mcgr
2020-12-05 08:32:35,2020-12-05 08:33:54,True,True,mcgr
2020-12-06 03:16:37,2020-12-06 03:16:41,True,True,snkq
2020-12-07 04:09:12,2020-12-07 04:09:51,True,True,rank
2020-12-08 03:31:38,2020-12-08 03:32:57,True,True,snkq
2020-12-08 03:33:34,2020-12-08 03:34:53,True,True,kapu
2020-12-08 08:10:25,2020-12-08 08:11:45,True,True,gako
2020-12-09 02:52:37,2020-12-09 02:53:55,True,True,kuuj
2020-12-09 04:24:46,2020-12-09 04:26:04,True,True,rank
2020-12-09 04:26:30,2020-12-09 04:27:48,True,True,gill
2020-12-11 03:09:12,2020-12-11 03:10:30,True,True,snkq
2020-12-11 07:47:57,2020-12-11 07:49:17,True,True,gako
2020-12-11 09:20:10,2020-12-11 09:21:30,True,True,kian
2020-12-14 02:46:11,2020-12-14 02:47:29,True,True,kuuj
2020-12-14 07:23:45,2020-12-14 07:25:04,True,True,inuv
2020-12-14 07:26:21,2020-12-14 07:26:40,True,True,gako
2020-12-15 08:19:56,2020-12-15 08:21:16,True,True,mcgr
2020-12-16 03:02:37,2020-12-16 03:03:56,True,True,snkq
2020-12-17 02:23:29,2020-12-17 02:24:47,True,True,kuuj
2020-12-17 03:55:37,2020-12-17 03:56:55,True,True,rank
2020-12-17 03:57:21,2020-12-17 03:58:40,True,True,gill
2020-12-17 07:01:01,2020-12-17 07:02:21,True,True,inuv
2020-12-18 03:18:35,2020-12-18 03:19:53,True,True,snkq
2020-12-19 04:11:34,2020-12-19 04:12:52,True,True,rank
2020-12-19 04:13:17,2020-12-19 04:14:36,True,True,gill
2020-12-19 04:15:07,2020-12-19 04:15:15,True,True,tpas
2020-12-19 08:50:47,2020-12-19 08:52:06,True,True,kian
2020-12-21 02:55:44,2020-12-21 02:57:03,True,True,snkq
2020-12-23 03:11:34,2020-12-23 03:12:53,True,True,snkq
2020-12-23 03:13:30,2020-12-23 03:14:49,True,True,kapu
2020-12-23 07:50:10,2020-12-23 07:51:30,True,True,mcgr
2020-12-23 07:50:19,2020-12-23 07:50:32,True,True,gako
2020-12-24 02:32:21,2020-12-24 02:32:37,True,True,kuuj
2020-12-24 07:09:53,2020-12-24 07:10:50,True,True,inuv
2020-12-24 07:11:29,2020-12-24 07:12:49,True,True,gako
2020-12-24 08:43:41,2020-12-24 08:45:01,True,True,kian
2020-12-25 01:53:32,2020-12-25 01:54:50,True,True,kuuj
2020-12-25 06:31:02,2020-12-25 06:32:22,True,True,inuv
2020-12-25 08:05:18,2020-12-25 08:06:11,True,True,kian
2020-12-25 08:05:57,2020-12-25 08:07:17,True,True,mcgr
2020-12-26 02:48:31,2020-12-26 02:49:49,True,True,snkq
2020-12-26 02:50:26,2020-12-26 02:51:45,True,True,kapu
2020-12-26 07:27:14,2020-12-26 07:28:34,True,True,gako
2020-12-29 02:25:52,2020-12-29 02:26:38,True,True,snkq
2020-12-29 07:02:25,2020-12-29 07:02:46,True,True,inuv
2020-12-29 07:04:02,2020-12-29 07:05:21,True,True,gako
2020-12-31 02:40:56,2020-12-31 02:42:15,True,True,snkq
2020-12-31 02:42:52,2020-12-31 02:44:11,True,True,kapu
2020-12-31 07:19:39,2020-12-31 07:20:59,True,True,gako
2021-01-01 06:39:05,2021-01-01 06:40:25,True,True,inuv
2021-01-01 08:12:53,2021-01-01 08:14:13,True,True,kian
2021-01-02 02:58:23,2021-01-02 02:58:50,True,True,kapu
2021-01-04 01:38:09,2021-01-04 01:39:28,True,True,kuuj
2021-01-04 07:49:27,2021-01-04 07:50:46,True,True,kian
2021-01-05 02:33:01,2021-01-05 02:34:19,True,True,snkq
2021-01-05 02:34:56,2021-01-05 02:36:15,True,True,kapu
2021-01-06 01:53:37,2021-01-06 01:54:55,True,True,kuuj
2021-01-06 03:25:45,2021-01-06 03:27:03,True,True,rank
2021-01-06 03:27:29,2021-01-06 03:28:47,True,True,gill
2021-01-06 06:31:07,2021-01-06 06:32:27,True,True,inuv
2021-01-06 06:33:48,2021-01-06 06:34:03,True,True,gako
2021-01-08 02:09:28,2021-01-08 02:10:46,True,True,snkq
2021-01-08 06:48:09,2021-01-08 06:49:29,True,True,gako
2021-03-08 05:29:12,2021-03-08 05:30:31,True,True,mcgr
2021-08-14 05:37:47,2021-08-14 05:39:05,True,True,kapu
2021-08-14 05:39:42,2021-08-14 05:41:00,True,True,snkq
2021-08-15 04:58:01,2021-08-15 04:59:19,True,True,kuuj
2021-08-16 05:46:46,2021-08-16 05:48:04,True,True,kapu
2021-08-16 05:51:02,2021-08-16 05:51:39,True,True,rank
2021-08-17 06:39:03,2021-08-17 06:40:22,True,True,tpas
2021-08-17 09:47:36,2021-08-17 09:48:55,True,True,gako
2021-08-22 06:16:54,2021-08-22 06:18:12,True,True,rank
2021-08-23 10:15:15,2021-08-23 10:16:34,True,True,kian
2021-08-24 06:23:16,2021-08-24 06:24:34,True,True,tpas
2021-08-24 09:31:48,2021-08-24 09:33:06,True,True,gako
2021-08-25 05:43:23,2021-08-25 05:44:40,True,True,rank
2021-08-25 10:23:56,2021-08-25 10:25:15,True,True,kian
2021-08-26 09:40:27,2021-08-26 09:41:45,True,True,gako
2021-08-30 05:14:32,2021-08-30 05:15:50,True,True,kapu
2021-08-30 05:18:54,2021-08-30 05:19:25,True,True,rank
2021-08-31 06:06:32,2021-08-31 06:07:50,True,True,tpas
2021-09-01 05:26:28,2021-09-01 05:27:46,True,True,rank
2021-09-01 05:28:16,2021-09-01 05:29:33,True,True,talo
2021-09-01 10:07:00,2021-09-01 10:08:18,True,True,kian
2021-09-02 04:42:21,2021-09-02 04:43:38,True,True,snkq
2021-09-02 09:23:20,2021-09-02 09:24:38,True,True,gako
2021-09-03 10:15:15,2021-09-03 10:16:33,True,True,kian
2021-09-06 09:40:54,2021-09-06 09:42:12,True,True,kian
2021-09-07 05:49:12,2021-09-07 05:49:57,True,True,tpas
2021-09-08 09:48:56,2021-09-08 09:50:15,True,True,kian
2021-09-09 09:05:08,2021-09-09 09:06:26,True,True,gako
2021-09-11 04:30:09,2021-09-11 04:31:28,True,True,kapu
2021-09-11 04:32:04,2021-09-11 04:33:22,True,True,snkq
2021-09-12 10:04:43,2021-09-12 10:05:35,True,True,kian
2021-09-13 09:22:02,2021-09-13 09:23:21,True,True,kian
2021-09-14 08:38:06,2021-09-14 08:39:25,True,True,gako
2021-09-17 03:22:28,2021-09-17 03:23:46,True,True,kuuj
2021-09-18 04:11:39,2021-09-18 04:11:48,True,True,kapu
2021-09-18 04:12:25,2021-09-18 04:13:42,True,True,snkq
2021-09-19 03:30:01,2021-09-19 03:31:19,True,True,kuuj
2021-09-20 04:18:00,2021-09-20 04:19:18,True,True,kapu
2021-09-20 04:19:55,2021-09-20 04:21:13,True,True,snkq
2021-09-21 03:37:29,2021-09-21 03:38:17,True,True,kuuj
2021-09-21 05:11:53,2021-09-21 05:12:41,True,True,rank
2021-09-21 05:13:41,2021-09-21 05:14:39,True,True,talo
2021-09-22 09:09:28,2021-09-22 09:10:47,True,True,kian
2021-09-23 03:44:27,2021-09-23 03:45:45,True,True,snkq
2021-09-23 08:25:22,2021-09-23 08:26:41,True,True,gako
2021-09-24 09:16:48,2021-09-24 09:18:07,True,True,kian
2021-09-25 03:51:45,2021-09-25 03:53:03,True,True,snkq
2021-09-26 03:09:12,2021-09-26 03:10:30,True,True,kuuj
2021-09-27 08:41:54,2021-09-27 08:42:20,True,True,kian
2021-09-28 04:50:43,2021-09-28 04:52:00,True,True,rank
2021-09-28 04:52:30,2021-09-28 04:53:48,True,True,talo
2021-09-28 09:31:07,2021-09-28 09:31:33,True,True,kian
2021-09-29 08:48:04,2021-09-29 08:49:23,True,True,kian
2021-09-30 08:03:46,2021-09-30 08:05:05,True,True,gako
2021-10-02 08:10:38,2021-10-02 08:11:57,True,True,gako
2021-10-04 08:17:21,2021-10-04 08:17:55,True,True,gako
2021-10-05 04:28:05,2021-10-05 04:29:23,True,True,rank
2021-10-05 04:29:53,2021-10-05 04:31:11,True,True,talo
2021-10-05 09:08:27,2021-10-05 09:09:46,True,True,kian
2021-10-07 03:00:17,2021-10-07 03:01:20,True,True,kuuj
2021-10-08 08:31:42,2021-10-08 08:33:01,True,True,kian
2021-10-10 03:57:45,2021-10-10 03:59:03,True,True,rank
2021-10-10 03:59:33,2021-10-10 04:00:51,True,True,talo
2021-10-11 07:53:28,2021-10-11 07:54:47,True,True,gako
2021-10-12 04:04:02,2021-10-12 04:05:20,True,True,rank
2021-10-12 04:05:50,2021-10-12 04:07:08,True,True,talo
2021-10-14 08:50:27,2021-10-14 08:51:35,True,True,kian
2021-12-11 06:10:06,2021-12-11 06:11:24,True,True,kian
2021-12-13 01:28:55,2021-12-13 01:29:16,True,True,kapu
2021-12-13 01:34:17,2021-12-13 01:35:35,True,True,talo
2021-12-14 02:17:47,2021-12-14 02:19:05,True,True,tpas
2021-12-14 05:25:54,2021-12-14 05:27:12,True,True,gako
2021-12-15 00:00:33,2021-12-15 00:01:51,True,True,kuuj
2021-12-16 02:20:02,2021-12-16 02:21:20,True,True,tpas
2021-12-17 01:35:16,2021-12-17 01:36:34,True,True,gill
2021-12-17 01:38:46,2021-12-17 01:40:03,True,True,talo
2021-12-21 01:39:14,2021-12-21 01:40:32,True,True,gill
2021-12-21 01:42:44,2021-12-21 01:44:02,True,True,talo
2021-12-21 06:20:50,2021-12-21 06:21:16,True,True,kian
2021-12-23 01:40:56,2021-12-23 01:42:14,True,True,gill
2021-12-23 01:44:27,2021-12-23 01:45:13,True,True,talo
2021-12-24 05:36:49,2021-12-24 05:38:08,True,True,kian
2021-12-25 01:42:25,2021-12-25 01:43:06,True,True,tpas
2021-12-25 01:42:26,2021-12-25 01:43:44,True,True,gill
2021-12-25 04:49:51,2021-12-25 04:51:10,True,True,gako
2021-12-25 23:24:34,2021-12-25 23:25:26,True,True,kuuj
2021-12-27 00:10:50,2021-12-27 00:12:07,True,True,snkq
2021-12-27 01:43:06,2021-12-27 01:44:24,True,True,tpas
2021-12-27 01:43:44,2021-12-27 01:44:43,True,True,gill
2021-12-27 04:51:08,2021-12-27 04:52:27,True,True,gako
2021-12-28 00:55:58,2021-12-28 00:55:59,True,True,kapu
2021-12-28 01:01:21,2021-12-28 01:02:39,True,True,talo
2021-12-29 01:44:12,2021-12-29 01:45:30,True,True,tpas
2021-12-29 04:52:14,2021-12-29 04:53:32,True,True,gako
2021-12-30 01:02:21,2021-12-30 01:03:39,True,True,talo
2021-12-30 01:02:21,2021-12-30 01:03:39,True,True,talo
2021-12-30 13:37:05,2021-12-30 13:37:44,True,True,talo
2021-12-30 16:42:40,2021-12-30 16:43:59,True,True,inuv
2022-01-01 05:41:10,2022-01-01 05:42:29,True,True,kian
2022-01-01 05:41:10,2022-01-01 05:42:29,True,True,kian
2022-01-01 13:37:14,2022-01-01 13:38:31,True,True,talo
2022-01-01 18:16:45,2022-01-01 18:18:04,True,True,kian
2022-01-03 01:00:20,2022-01-03 01:01:38,True,True,gill
2022-01-03 01:03:51,2022-01-03 01:05:08,True,True,talo
2022-01-03 01:03:51,2022-01-03 01:05:08,True,True,talo
2022-01-03 05:41:50,2022-01-03 05:43:09,True,True,kian
2022-01-03 05:41:50,2022-01-03 05:43:09,True,True,kian
2022-01-04 04:56:41,2022-01-04 04:56:59,True,True,kian
2022-01-05 01:00:53,2022-01-05 01:02:11,True,True,gill
2022-01-05 01:04:24,2022-01-05 01:05:41,True,True,talo
2022-01-05 01:04:24,2022-01-05 01:05:41,True,True,talo
2022-01-05 05:42:22,2022-01-05 05:43:30,True,True,kian
2022-01-05 05:42:22,2022-01-05 05:43:30,True,True,kian
2022-01-05 16:44:35,2022-01-05 16:45:54,True,True,inuv
2022-01-05 16:47:26,2022-01-05 16:47:29,True,True,gako
2022-01-06 04:56:22,2022-01-06 04:57:28,True,True,kian
2022-01-07 01:01:20,2022-01-07 01:02:38,True,True,gill
2022-01-07 01:04:51,2022-01-07 01:06:08,True,True,talo
2022-01-07 01:04:51,2022-01-07 01:06:08,True,True,talo
2022-01-07 16:46:47,2022-01-07 16:47:55,True,True,gako
2022-01-07 18:18:19,2022-01-07 18:19:38,True,True,kian
2022-01-08 04:56:33,2022-01-08 04:57:52,True,True,kian
2022-01-11 01:01:57,2022-01-11 01:03:15,True,True,gill
2022-01-11 01:02:32,2022-01-11 01:02:37,True,True,tpas
2022-01-11 01:05:28,2022-01-11 01:05:42,True,True,talo
2022-01-11 01:05:28,2022-01-11 01:05:42,True,True,talo
2022-01-11 04:09:18,2022-01-11 04:10:37,True,True,gako
2022-01-11 04:09:18,2022-01-11 04:10:37,True,True,gako
2022-01-11 22:44:12,2022-01-11 22:44:25,True,True,kuuj
2022-01-12 04:57:03,2022-01-12 04:58:22,True,True,kian
2022-01-12 04:57:03,2022-01-12 04:58:22,True,True,kian
2022-01-12 11:23:36,2022-01-12 11:24:26,True,True,kuuj
2022-01-12 17:33:35,2022-01-12 17:33:46,True,True,kian
2022-01-12 23:29:28,2022-01-12 23:30:31,True,True,snkq
2022-01-13 01:01:27,2022-01-13 01:02:45,True,True,tpas
2022-01-13 01:02:05,2022-01-13 01:03:23,True,True,gill
2022-01-13 22:43:12,2022-01-13 22:44:30,True,True,kuuj
2022-01-14 04:57:06,2022-01-14 04:58:25,True,True,kian
2022-01-14 04:57:06,2022-01-14 04:58:25,True,True,kian
2022-01-14 17:32:51,2022-01-14 17:33:48,True,True,kian
2022-01-14 23:29:13,2022-01-14 23:30:31,True,True,snkq
2022-01-15 01:01:27,2022-01-15 01:02:45,True,True,tpas
2022-01-15 01:02:05,2022-01-15 01:02:43,True,True,gill
2022-01-16 00:19:05,2022-01-16 00:20:23,True,True,talo
2022-01-16 17:32:18,2022-01-16 17:33:38,True,True,kian
2022-01-18 04:56:40,2022-01-18 04:57:59,True,True,kian
2022-01-18 04:56:40,2022-01-18 04:57:59,True,True,kian
2022-01-18 11:22:41,2022-01-18 11:23:58,True,True,kuuj
2022-01-18 12:56:15,2022-01-18 12:57:19,True,True,gill
2022-01-18 15:58:39,2022-01-18 15:59:58,True,True,inuv
2022-01-18 17:31:56,2022-01-18 17:33:15,True,True,kian
2022-01-19 22:42:19,2022-01-19 22:43:37,True,True,kuuj
2022-01-20 04:56:08,2022-01-20 04:57:27,True,True,kian
2022-01-20 11:22:08,2022-01-20 11:23:25,True,True,kuuj
2022-01-20 12:52:15,2022-01-20 12:53:15,True,True,talo
2022-01-20 12:55:28,2022-01-20 12:56:46,True,True,gill
2022-01-20 15:58:05,2022-01-20 15:59:24,True,True,inuv
2022-01-22 00:14:04,2022-01-22 00:15:23,True,True,gill
2022-01-22 00:14:04,2022-01-22 00:15:23,True,True,gill
2022-01-22 00:17:36,2022-01-22 00:18:53,True,True,talo
2022-01-22 00:17:36,2022-01-22 00:18:53,True,True,talo
2022-01-22 11:21:25,2022-01-22 11:22:42,True,True,kuuj
2022-01-22 12:51:14,2022-01-22 12:52:32,True,True,talo
2022-01-22 12:54:44,2022-01-22 12:56:02,True,True,gill
2022-01-22 23:25:49,2022-01-22 23:26:40,True,True,kapu
2022-01-22 23:27:17,2022-01-22 23:28:35,True,True,snkq
2022-01-24 00:13:14,2022-01-24 00:14:32,True,True,gill
2022-01-24 00:13:14,2022-01-24 00:14:32,True,True,gill
2022-01-24 00:16:45,2022-01-24 00:18:03,True,True,talo
2022-01-24 00:16:45,2022-01-24 00:18:03,True,True,talo
2022-01-24 00:16:45,2022-01-24 00:18:03,True,True,talo
2022-01-24 11:20:32,2022-01-24 11:21:49,True,True,kuuj
2022-01-24 12:50:21,2022-01-24 12:51:39,True,True,talo
2022-01-24 12:50:21,2022-01-24 12:51:39,True,True,talo
2022-01-24 12:53:51,2022-01-24 12:55:09,True,True,gill
2022-01-24 15:56:28,2022-01-24 15:57:47,True,True,inuv
2022-01-24 23:26:22,2022-01-24 23:27:40,True,True,snkq
2022-01-25 22:39:50,2022-01-25 22:41:08,True,True,kuuj
2022-01-26 00:12:15,2022-01-26 00:13:33,True,True,gill
2022-01-26 00:12:15,2022-01-26 00:13:33,True,True,gill
2022-01-26 00:15:46,2022-01-26 00:17:03,True,True,talo
2022-01-26 00:15:46,2022-01-26 00:17:03,True,True,talo
2022-01-26 00:15:46,2022-01-26 00:17:03,True,True,talo
2022-01-26 12:49:19,2022-01-26 12:50:36,True,True,talo
2022-01-26 12:49:19,2022-01-26 12:50:36,True,True,talo
2022-01-26 12:52:49,2022-01-26 12:54:07,True,True,gill
2022-01-26 15:55:25,2022-01-26 15:56:44,True,True,inuv
2022-01-26 23:25:18,2022-01-26 23:26:36,True,True,snkq
2022-01-31 22:35:50,2022-01-31 22:36:49,True,True,kuuj
2022-02-01 00:11:44,2022-02-01 00:12:46,True,True,talo
2022-02-01 00:11:44,2022-02-01 00:12:46,True,True,talo
2022-02-01 15:51:11,2022-02-01 15:52:30,True,True,inuv
2022-02-02 22:34:06,2022-02-02 22:34:23,True,True,kuuj
