start,end,epd_data,asi_data,asi
2019-09-28 08:42:43,2019-09-28 08:44:02,True,True,gill
2019-09-28 08:43:12,2019-09-28 08:43:23,True,True,tpas
2019-09-28 08:46:16,2019-09-28 08:46:27,True,True,talo
2019-09-28 11:51:34,2019-09-28 11:52:54,True,True,gako
2019-09-29 08:09:20,2019-09-29 08:10:39,True,True,rank
2019-09-29 08:11:09,2019-09-29 08:12:27,True,True,talo
2019-10-10 06:22:09,2019-10-10 06:23:28,True,True,kuuj
2019-10-10 12:39:04,2019-10-10 12:40:24,True,True,kian
2019-10-11 07:23:42,2019-10-11 07:25:00,True,True,talo
2019-10-11 12:02:46,2019-10-11 12:04:06,True,True,mcgr
2019-10-11 12:03:52,2019-10-11 12:05:12,True,True,kian
2019-10-12 06:44:57,2019-10-12 06:46:16,True,True,snkq
2019-10-15 08:06:14,2019-10-15 08:07:12,True,True,tpas
2019-10-15 08:06:32,2019-10-15 08:07:51,True,True,gill
2019-10-15 11:15:22,2019-10-15 11:16:42,True,True,gako
2019-10-19 05:45:58,2019-10-19 05:47:17,True,True,kuuj
2019-10-19 12:01:46,2019-10-19 12:02:29,True,True,mcgr
2019-10-20 06:43:56,2019-10-20 06:45:15,True,True,snkq
2019-10-20 08:16:53,2019-10-20 08:18:13,True,True,tpas
2019-10-20 11:26:31,2019-10-20 11:27:51,True,True,mcgr
2019-10-21 07:42:16,2019-10-21 07:43:35,True,True,gill
2019-10-21 07:44:00,2019-10-21 07:45:12,True,True,rank
2019-10-21 07:45:49,2019-10-21 07:46:59,True,True,talo
2019-10-22 05:34:05,2019-10-22 05:35:06,True,True,kuuj
2019-10-22 11:49:35,2019-10-22 11:50:54,True,True,mcgr
2019-10-23 06:31:43,2019-10-23 06:33:02,True,True,snkq
2019-10-25 11:37:19,2019-10-25 11:38:39,True,True,mcgr
2019-12-03 07:14:50,2019-12-03 07:16:08,True,True,atha
2019-12-03 07:16:16,2019-12-03 07:17:35,True,True,fsmi
2019-12-03 08:50:08,2019-12-03 08:51:27,True,True,whit
2019-12-03 08:52:05,2019-12-03 08:52:58,True,True,inuv
2020-01-08 09:16:56,2020-01-08 09:18:01,True,True,kian
2020-03-05 06:17:54,2020-03-05 06:19:13,True,True,mcgr
2020-03-06 02:32:55,2020-03-06 02:34:14,True,True,gill
2020-03-06 02:34:39,2020-03-06 02:35:15,True,True,rank
